City,VAT Catheter Measure Score,National Average VAT Catheter Measure Score,VAT Fistula Measure Score,National Average Fistula Measure Score,Vascular Access Combined Measure Score,National Average Vascular Access Combined Measure Score,Kt/V Comprehensive Measure Score,National Average Kt/V Comprehensive Measure Score,Hypercalcemia Measure Score,National Average Hypercalcemia Measure Score,NHSN Influenza Measure Score,National Average NHSN Influenza Measure Score,NHSN BSI Measure Score,National Average NHSN BSI Measure Score,NHSN Combined Measure Score,National Average NHSN Combined Measure Score,ICH CAHPS Measure Score,National Average ICH CAHPS Measure Score,Mineral Metabolism Measure Score,National Avg Mineral Metabolism Measure Score,Anemia Management Measure Score,National Average Anemia Management Measure Score,Standardized Readmission Ratio (SRR) Measure Score,National Average SRR Measure Score,Standardized Transfusion Ratio (STrR) Measure Score,National Average STrR Measure Score,Clinical Depression Screening and Follow-up Measure Score,National Average Clinical Depression Screening and Follow-up Measure Score,Pain Assessment and Follow-up Measure Score,National Average Pain Assessment and Follow-up Measure Score,Total Performance Score
ABBEVILLE,10.0,5.0,4.0,5.0,7.0,5.0,10.0,8.0,10.0,8.0,10.0,9.0,3.0,6.0,6.0,7.0,8.0,5.0,9.0,9.0,10.0,10.0,7.0,5.0,10.0,5.0,10.0,10.0,10.0,10.0,82.0
ABERDEEN,8.0,5.0,8.33,5.0,8.0,5.0,9.67,8.0,9.67,8.0,10.0,9.0,6.67,6.0,8.0,7.0,4.67,5.0,10.0,9.0,10.0,10.0,5.0,5.0,5.33,5.0,10.0,10.0,10.0,10.0,73.0
ABILENE,4.67,5.0,6.67,5.0,5.67,5.0,8.67,8.0,9.67,8.0,10.0,9.0,6.0,6.0,7.67,7.0,6.33,5.0,10.0,9.0,10.0,10.0,4.67,5.0,1.33,5.0,10.0,10.0,10.0,10.0,67.0
ABINGDON,4.0,5.0,7.0,5.0,5.0,5.0,9.0,8.0,10.0,8.0,10.0,9.0,9.0,6.0,9.0,7.0,9.0,5.0,10.0,9.0,10.0,10.0,8.0,5.0,8.0,5.0,10.0,10.0,10.0,10.0,84.0
ADEL,10.0,5.0,6.0,5.0,8.0,5.0,10.0,8.0,9.0,8.0,10.0,9.0,6.0,6.0,8.0,7.0,8.0,5.0,10.0,9.0,10.0,10.0,7.0,5.0,8.0,5.0,10.0,10.0,10.0,10.0,84.0
ADRIAN,4.0,5.0,6.0,5.0,5.0,5.0,9.0,8.0,9.0,8.0,10.0,9.0,0.0,6.0,4.0,7.0,1.0,5.0,10.0,9.0,10.0,10.0,4.0,5.0,1.0,5.0,10.0,10.0,10.0,10.0,49.0
AHOSKIE,9.0,5.0,4.0,5.0,7.0,5.0,9.0,8.0,8.0,8.0,10.0,9.0,7.0,6.0,8.0,7.0,7.0,5.0,9.0,9.0,10.0,10.0,9.0,5.0,4.0,5.0,10.0,10.0,10.0,10.0,77.0
AIEA,7.0,5.0,8.0,5.0,7.0,5.0,9.0,8.0,9.0,8.0,10.0,9.0,9.0,6.0,9.0,7.0,5.0,5.0,10.0,9.0,10.0,10.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,72.0
AIKEN,7.67,5.0,4.67,5.0,6.33,5.0,8.0,8.0,9.67,8.0,10.0,9.0,6.0,6.0,7.67,7.0,4.67,5.0,9.67,9.0,10.0,10.0,3.0,5.0,3.33,5.0,10.0,10.0,10.0,10.0,63.67
AKRON,2.2,5.0,0.2,5.0,1.2,5.0,8.4,8.0,7.6,8.0,10.0,9.0,6.8,6.0,8.2,7.0,5.8,5.0,9.8,9.0,10.0,10.0,5.0,5.0,1.2,5.0,10.0,10.0,10.0,10.0,59.0
