,Facility Name,CMS Certification Number (CCN),City,state,State Abbr,Zip Code,Lat,Long,VAT Catheter Measure Score,National Average VAT Catheter Measure Score,VAT Fistula Measure Score,National Average Fistula Measure Score,Vascular Access Combined Measure Score,National Average Vascular Access Combined Measure Score,Kt/V Comprehensive Measure Score,National Average Kt/V Comprehensive Measure Score,Hypercalcemia Measure Score,National Average Hypercalcemia Measure Score,NHSN Influenza Measure Score,National Average NHSN Influenza Measure Score,NHSN BSI Measure Score,National Average NHSN BSI Measure Score,NHSN Combined Measure Score,National Average NHSN Combined Measure Score,ICH CAHPS Measure Score,National Average ICH CAHPS Measure Score,Mineral Metabolism Measure Score,National Avg Mineral Metabolism Measure Score,Anemia Management Measure Score,National Average Anemia Management Measure Score,Standardized Readmission Ratio (SRR) Measure Score,National Average SRR Measure Score,Standardized Transfusion Ratio (STrR) Measure Score,National Average STrR Measure Score,Clinical Depression Screening and Follow-up Measure Score,National Average Clinical Depression Screening and Follow-up Measure Score,Pain Assessment and Follow-up Measure Score,National Average Pain Assessment and Follow-up Measure Score,Total Performance Score,PY2019 Payment Reduction Percentage,CMS Certification Date,FacilityAge
0,FMC PRICHARD,12537,WHISTLER,Alabama,AL,36613,30.76,-88.12,8,5,7,5,8,5,6,8,10,8,10,9,8,6,9,7,2,5,10,9,10,10,6,5,2,5,10,10,10,10,62,No Reduction,4/23/1990,10479 days 00:00:00.000000000
1,OZARK DIALYSIS,12544,OZARK,Alabama,AL,36360,31.43,-85.64,10,5,7,5,9,5,4,8,8,8,10,9,4,6,6,7,8,5,9,9,10,10,8,5,7,5,10,10,10,10,74,No Reduction,8/4/1992,9645 days 00:00:00.000000000
2,FMC WEST,12601,BIRMINGHAM,Alabama,AL,35211,33.52,-86.79,8,5,1,5,5,5,9,8,8,8,10,9,4,6,6,7,2,5,10,9,10,10,5,5,4,5,10,10,10,10,57,0.50%,3/27/2001,6488 days 00:00:00.000000000
3,RCG PRINCETON,12526,BIRMINGHAM,Alabama,AL,35211,33.52,-86.79,8,5,0,5,4,5,6,8,10,8,10,9,4,6,6,7,3,5,5,9,10,10,0,5,4,5,10,10,10,10,48,1.00%,9/18/1985,12157 days 00:00:00.000000000
4,PICKENS COUNTY DIALYSIS,12640,CARROLLTON,Alabama,AL,35447,33.26,-88.09,4,5,0,5,2,5,7,8,6,8,10,9,8,6,9,7,10,5,10,9,10,10,3,5,3,5,10,10,10,10,66,No Reduction,1/5/2011,2917 days 00:00:00.000000000
5,GREENE COUNTY DIALYSIS,12550,EUTAW,Alabama,AL,35462,32.84,-87.89,8,5,2,5,5,5,10,8,8,8,10,9,10,6,10,7,3,5,10,9,10,10,2,5,10,5,10,10,10,10,68,No Reduction,6/30/1994,8950 days 00:00:00.000000000
6,FMC VALLEY CREEK,12614,SELMA,Alabama,AL,36701,32.41,-87.03,8,5,0,5,4,5,9,8,9,8,10,9,2,6,5,7,6,5,9,9,10,10,3,5,6,5,10,10,10,10,62,No Reduction,4/7/2004,5381 days 00:00:00.000000000
7,FMC DALLAS COUNTY,12611,SELMA,Alabama,AL,36701,32.41,-87.03,8,5,1,5,5,5,9,8,9,8,10,9,8,6,9,7,1,5,10,9,10,10,3,5,8,5,10,10,10,10,62,No Reduction,12/19/2003,5491 days 00:00:00.000000000
8,FMC WEST MOBILE,12525,MOBILE,Alabama,AL,36695,30.68,-88.04,4,5,0,5,2,5,8,8,10,8,10,9,8,6,9,7,2,5,9,9,10,10,8,5,6,5,10,10,10,10,62,No Reduction,12/2/1985,12082 days 00:00:00.000000000
9,BIO-MEDICAL APPLICATIONS OF ALABAMA,12654,MONTGOMERY,Alabama,AL,36117,32.35,-86.28,1,5,0,5,1,5,6,8,10,8,10,9,7,6,8,7,2,5,10,9,10,10,10,5,7,5,10,10,10,10,60,No Reduction,5/25/2012,2411 days 00:00:00.000000000
