,State,Facility Name,Total Performance Score,PY2019 Payment Reduction Percentage,CMS Certification Date,StateLat,StateLon
0,AL,WALKER COUNTY DIALYSIS,62,No Reduction,12/29/1987,32.6010112,-86.6807365
1,AL,FMC PRICHARD,62,No Reduction,4/23/1990,32.6010112,-86.6807365
2,AL,OZARK DIALYSIS,74,No Reduction,8/4/1992,32.6010112,-86.6807365
3,AL,DCI GEORGIANA,83,No Reduction,12/31/1996,32.6010112,-86.6807365
4,AL,FMC THOMASVILLE,64,No Reduction,9/15/1998,32.6010112,-86.6807365
5,AL,FMC WEST,57,0.50%,3/27/2001,32.6010112,-86.6807365
6,AL,PICKENS COUNTY DIALYSIS,66,No Reduction,1/5/2011,32.6010112,-86.6807365
7,AL,FRESENIUS MEDICAL CARE BIRMINGHAM HOME LLC,73,No Reduction,10/30/2012,32.6010112,-86.6807365
8,AL,BIO MEDICAL APPLICATIONS OF ALABAMA INC,No Score,No Reduction,2/9/2017,32.6010112,-86.6807365
9,AK,FMC SOLDOTNA,91,No Reduction,12/8/2009,61.3025006,-158.7750198
10,AZ,031308 GILA RIVER DIALYSIS EAST,76,No Reduction,1/4/2006,34.1682185,-111.930907
11,AZ,030064 BANNER UNIVERSITY MEDICAL CENTER PEDIATRIC OUTPATI,No Score,No Reduction,9/20/2012,34.1682185,-111.930907
12,AZ,032513 SELLS DIALYSIS (DVA),70,No Reduction,1/1/1985,34.1682185,-111.930907
13,AZ,032518 FOUR CORNERS DIALYSIS CLINIC CHINLE (DVA),64,No Reduction,4/14/1987,34.1682185,-111.930907
14,AZ,032520 SIERRA VISTA DIALYSIS (DVA),70,No Reduction,6/20/1987,34.1682185,-111.930907
15,AZ,032522 PARKER DIALYSIS CENTER (FMC),86,No Reduction,7/20/1988,34.1682185,-111.930907
16,AZ,032559 FOUR CORNERS DIAL CLINIC KAYENTA (DVA),79,No Reduction,6/7/1995,34.1682185,-111.930907
17,AZ,032592 HOPI DIALYSIS CENTER (DVA),83,No Reduction,8/28/2001,34.1682185,-111.930907
18,AZ,032597 SAN CARLOS DIALYSIS (FMC),82,No Reduction,2/19/2003,34.1682185,-111.930907
19,AZ,032598 MAMMOTH DIALYSIS (FMC),83,No Reduction,4/16/2003,34.1682185,-111.930907
20,AZ,032599 AHWATUKEE DIALYSIS (FMC),73,No Reduction,5/7/2003,34.1682185,-111.930907
21,AZ,032609 SOUTHWEST KIDNEY DIALYSIS - TEMPE (DVA),74,No Reduction,8/5/2005,34.1682185,-111.930907
22,AZ,032616 DESERT DIALYSIS SAHUARITA (DCI),63,No Reduction,4/30/2008,34.1682185,-111.930907
23,AZ,033503 GILA RIVER DIALYSIS WEST,76,No Reduction,8/24/2005,34.1682185,-111.930907
24,AR,DAVITA - SPRINGHILL DIALYSIS,53,0.50%,7/10/1987,34.7519275,-92.1313784
25,AR,DAVITA - OUACHITA VALLEY DIALYSIS,54,0.50%,7/13/1990,34.7519275,-92.1313784
26,AR,DAVITA - LITTLE ROCK MIDTOWN DIALYSIS,50,0.50%,5/15/1998,34.7519275,-92.1313784
27,AR,LEWISVILLE DIALYSIS CTR,No Score,No Reduction,10/22/1998,34.7519275,-92.1313784
28,AR,DAVITA - JACKSON COUNTY DX,71,No Reduction,2/5/1999,34.7519275,-92.1313784
29,AR,DAVITA - SALINE COUNTY DIALYSIS,47,1.00%,9/15/1999,34.7519275,-92.1313784
30,AR,DAVITA - BRADLEY COUNTY DIALYSIS,88,No Reduction,10/14/2005,34.7519275,-92.1313784
31,AR,DAVITA - POCAHONTAS,57,0.50%,6/14/2016,34.7519275,-92.1313784
32,CA,CHILDRENS HOSPITAL OF LOS ANGELES,54,0.50%,7/28/1977,37.2718745,-119.2704153
33,CA,KAISER FOUNDATION HOSPITAL MEDICAL CTR.- SUNSET,39,1.50%,7/25/1977,37.2718745,-119.2704153
34,CA,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL PEDIATRIC CHRON,92,No Reduction,8/11/1977,37.2718745,-119.2704153
35,CA,ST. JOSEPH HOSPITAL RENAL CENTER,70,No Reduction,8/15/1977,37.2718745,-119.2704153
36,CA,KAISER FOUNDATION HOSPITAL MEDICAL CTR.- FONTANA,54,0.50%,7/24/1991,37.2718745,-119.2704153
37,CA,KAISER FOUNDATION HOSPITAL MEDICAL CTR.- RIVERSIDE,41,1.00%,11/25/1992,37.2718745,-119.2704153
38,CA,KAISER FOUNDATION HOSPITAL MEDICAL CTR.- WEST LOS ANGELES,37,1.50%,4/26/1993,37.2718745,-119.2704153
39,CA,KAISER FOUNDATION HOSPITAL MEDICAL CTR.- DOWNEY,31,1.50%,12/1/1994,37.2718745,-119.2704153
40,CA,KAISER FOUNDATION HOSPITAL MEDICAL CTR.- ANAHEIM,39,1.50%,11/30/1999,37.2718745,-119.2704153
41,CA,KAISER HOSPITAL ESRD PD UNIT,64,No Reduction,3/18/2005,37.2718745,-119.2704153
42,CA,KAISER FOUNDATION HOSPITAL MEDICAL CTR.- BALDWIN PARK,48,1.00%,2/7/2006,37.2718745,-119.2704153
43,CA,CHILDRENS HOSPITAL CENTRAL CALIFORNIA,No Score,No Reduction,8/22/2006,37.2718745,-119.2704153
44,CA,DAVITA-MAIN PLACE DIALYSIS CENTER,67,No Reduction,8/17/1977,37.2718745,-119.2704153
45,CA,FMC-BURBANK,64,No Reduction,8/30/1977,37.2718745,-119.2704153
46,CA,MONTEREY PENINSULA DIALYSIS,77,No Reduction,8/5/1982,37.2718745,-119.2704153
47,CA,MANZANITA DIALYSIS CENTER,52,0.50%,9/5/1984,37.2718745,-119.2704153
48,CA,SAN JOAQUIN VALLEY DIALYSIS,55,0.50%,1/20/1989,37.2718745,-119.2704153
49,CA,LOS BANOS DIALYSIS CENTER,76,No Reduction,7/2/1993,37.2718745,-119.2704153
50,CA,DAVITA-HOLLYWOOD DIALYSIS CENTER,62,No Reduction,4/4/1997,37.2718745,-119.2704153
51,CA,GRASS VALLEY DIALYSIS CENTER,87,No Reduction,5/2/1997,37.2718745,-119.2704153
52,CA,UCSD DIALYSIS CENTER,91,No Reduction,2/17/1998,37.2718745,-119.2704153
53,CA,KIDNEY INSTITUTE AT EISENHOWER MEDICAL CENTER,49,1.00%,3/25/1998,37.2718745,-119.2704153
54,CA,DAVITA-KENNETH HAHN PLAZA DIALYSIS CENTER,63,No Reduction,3/2/2000,37.2718745,-119.2704153
55,CA,WHITTIER KIDNEY DIALYSIS CENTER,65,No Reduction,6/5/2002,37.2718745,-119.2704153
56,CO,062579 - LOVELAND CENTRAL DIALYSIS (DVA),75,No Reduction,1/28/2013,38.9979339,-105.550567
57,CT,NEW BRITAIN GENERAL HOSPITAL,71,No Reduction,8/25/1977,41.5187835,-72.757507
58,CT,ST. RAPHAEL DIALYSIS CENTER - NEW HAVEN,54,0.50%,8/5/1996,41.5187835,-72.757507
59,CT,TORRINGTON DIALYSIS,66,No Reduction,10/5/2000,41.5187835,-72.757507
60,CT,HERALD SQUARE DIALYSIS LLC,55,0.50%,10/3/2016,41.5187835,-72.757507
61,DE,CHRISTIANA CARE HEALTH SYSTEM,48,1.00%,9/1/1977,39.145251,-75.4189206
62,DE,FRESENIUS MEDICAL CARE CENTRAL DELAWARE,67,No Reduction,12/23/1978,39.145251,-75.4189206
63,DE,FRESENIUS MEDICAL CARE RIVERSIDE PARK,72,No Reduction,12/15/1989,39.145251,-75.4189206
64,DE,FRESENIUS MEDICAL CARE CHRISTIANA,63,No Reduction,12/29/1989,39.145251,-75.4189206
65,DE,FRESENIUS MEDICAL CARE WILMINGTON,76,No Reduction,5/23/2001,39.145251,-75.4189206
66,DE,FRESENIUS MEDICAL CARE SMYRNA,58,0.50%,11/20/2002,39.145251,-75.4189206
67,DE,DSI LAUREL DIALYSIS LLC,77,No Reduction,9/25/2015,39.145251,-75.4189206
68,DE,FRESENIUS MEDICAL CARE NORTHERN DELAWARE LLC.,85,No Reduction,11/7/2016,39.145251,-75.4189206
69,DC,WASHINGTON HOSPITAL CENTER,0,2.00%,9/1/1977,38.8993487,-77.0145666
70,DC,CHILDRENS NATIONAL MEDICAL CENTER,81,No Reduction,8/1/1977,38.8993487,-77.0145666
71,DC,DAVITA - GWU SE,64,No Reduction,3/1/1995,38.8993487,-77.0145666
72,FL,TAMPA GENERAL HOSPITAL ESRD,89,No Reduction,9/1/1976,27.9757279,-83.8330166
73,FL,PANAMA CITY DIALYSIS CENTER,67,No Reduction,9/1/1976,27.9757279,-83.8330166
74,FL,NORTHEAST FLORIDA DIALYSIS CENTER,67,No Reduction,2/9/1988,27.9757279,-83.8330166
75,FL,MIAMI LAKES ARTIFICIAL KIDNEY CTR,80,No Reduction,7/7/1992,27.9757279,-83.8330166
76,FL,FMC DIALYSIS SERVICES - LIVE OAK,69,No Reduction,8/31/1992,27.9757279,-83.8330166
77,FL,BMA - PALATKA,69,No Reduction,12/16/1994,27.9757279,-83.8330166
78,FL,CARROLLWOOD ARTIFICIAL KIDNEY CENTER,63,No Reduction,7/20/1995,27.9757279,-83.8330166
79,FL,OCALA REGIONAL KIDNEY CENTER SOUTH,51,0.50%,3/19/1998,27.9757279,-83.8330166
80,FL,TEMPLE TERRACE DIALYSIS,38,1.50%,4/8/1999,27.9757279,-83.8330166
81,FL,BONITA SPRINGS DIALYSIS,78,No Reduction,6/7/1999,27.9757279,-83.8330166
82,FL,CYPRESS CREEK DIALYSIS CENTER,72,No Reduction,9/24/2004,27.9757279,-83.8330166
83,FL,DIALYSIS CARE CENTER OF DAYTONA,56,0.50%,11/4/2005,27.9757279,-83.8330166
84,FL,MIRAMAR KIDNEY CENTER,73,No Reduction,10/2/2008,27.9757279,-83.8330166
85,FL,DIALYSIS CARE CENTER OF PALM COAST,58,0.50%,11/12/2008,27.9757279,-83.8330166
86,FL,MAYO CLINIC OUTPATIENT DIALYSIS,73,No Reduction,1/2/2002,27.9757279,-83.8330166
87,GA,ATHENS WEST DIALYSIS,75,No Reduction,7/18/1977,32.6781248,-83.2229757
88,GA,DIALYSIS CLINIC INC NORTHSIDE,44,1.00%,7/6/1981,32.6781248,-83.2229757
89,GA,LAURENS COUNTY DIALYSIS,75,No Reduction,7/13/1987,32.6781248,-83.2229757
90,GA,HINESVILLE DIALYSIS,69,No Reduction,9/29/1988,32.6781248,-83.2229757
91,GA,DCI DAWSON,50,0.50%,7/24/1991,32.6781248,-83.2229757
92,GA,FRESENIUS MEDICAL CARE PERIMETER,51,0.50%,12/15/1993,32.6781248,-83.2229757
93,GA,EAST ATLANTA DIALYSIS,48,1.00%,8/2/1995,32.6781248,-83.2229757
94,GA,FRESENIUS MEDICAL CARE HALL COUNTY,76,No Reduction,9/29/2015,32.6781248,-83.2229757
95,GA,DCI SYLVESTER,55,0.50%,10/23/1996,32.6781248,-83.2229757
96,GA,FRESENIUS MEDICAL CARE HENRY COUNTY,50,0.50%,2/11/1999,32.6781248,-83.2229757
97,GA,DSI COBB RENAL CENTER,66,No Reduction,2/4/2000,32.6781248,-83.2229757
98,GA,PERRY DIALYSIS CENTER,80,No Reduction,8/4/2000,32.6781248,-83.2229757
99,GA,LORING HEIGHTS DIALYSIS,68,No Reduction,9/20/2002,32.6781248,-83.2229757
100,GA,DCA OF CALHOUN,81,No Reduction,7/28/2006,32.6781248,-83.2229757
101,GA,FRESENIUS MEDICAL CARE HABERSHAM,75,No Reduction,7/15/2008,32.6781248,-83.2229757
102,GA,PEACHTREE CITY DIALYSIS,69,No Reduction,8/27/2009,32.6781248,-83.2229757
103,GA,RELIANT RENAL CARE GEORGIA LLC,51,0.50%,5/23/2012,32.6781248,-83.2229757
104,GA,MCDUFFIE DIALYSIS,83,No Reduction,9/20/2012,32.6781248,-83.2229757
105,HI,HILO DIALYSIS,84,No Reduction,1/15/2006,20.46,-157.505
106,HI,DSI - PEARLRIDGE DIALYSIS CENTER,72,No Reduction,7/1/2002,20.46,-157.505
107,HI,MAUI DIALYSIS FACILITY,76,No Reduction,1/15/2006,20.46,-157.505
108,HI,KAHANA DIALYSIS,90,No Reduction,1/15/2006,20.46,-157.505
109,ID,FMC NORTH IDAHO  DIALYSIS FACILITY,89,No Reduction,11/1/2000,45.4945756,-114.1424303
110,IL,RUSH-UNIVERSITY-ST LUKES MED CTR,2,2.00%,1/1/1980,39.739318,-89.504139
111,IL,JOHN H. STROGER JR.HOSPITAL OF COOK COUNTY,50,0.50%,1/1/1980,39.739318,-89.504139
